File Name,Status,Message
arbix-rekt,SUCCESS," Based on the information provided, there are no clear technical details about how the attack was executed. The write-up states that the project ""drained the vaults of users' funds"", but does not provide specifics on how this was done from a technical perspective.  Some key points:  - The project deleted their website, Twitter, and Telegram, indicating it was likely an insider attack/rug pull rather than an external hack.  - Funds were drained directly from the vaults and sent to an address controlled by the attackers. But there are no technical details provided on how access to the vaults was obtained.  - 4.5M ARBX tokens were minted and sold off, tanking the price. This indicates possible access to minting capabilities.  - Funds were bridged from BSC to Ethereum and converted to ETH by the attackers.  Overall there is simply not enough technical information provided in the write-up to determine the specific vulnerability or weakness exploited. It appears funds were accessed in an unauthorized way, but the exact attack vector is unclear. For example, there's no mention of a smart contract exploit. At most all we can determine is it was likely an insider rug pull rather than an external attack. So at this point I would have to conclude there is not enough information to determine how the attack took place from a technical perspective. Please let me know if any additional details from the write-up could aid analysis."
ascendex-rekt,SUCCESS," Unfortunately, there is not enough technical information provided in the markdown text to determine exactly how the attacker compromised AscendEX's hot wallet and stole the funds.  The text mentions that AscendEX claimed their private keys were ""compromised"" but provides no details on how this occurred. It could have been the result of a security vulnerability, insider threat, social engineering attack, or something else, but there are no specifics given.  Without more technical specifics on the attack vector, vulnerabilities exploited, or security failures, I cannot reliably determine how the attack took place. The text focuses more on the impact and aftermath rather than the actual mechanics of the attack.  So in summary:  There is not enough information to determine how the attack took place"
atlantis-loans-rekt,SUCCESS," Based on the information provided, the attacker exploited the Atlantis Loans decentralized governance system to gain control of the protocol's token contracts. Specifically:  1) The Atlantis Loans developers abandoned the project in April 2022, but left the protocol operational. This included paying for the UI hosting for 2 years.  2) On June 7th, the attacker submitted a malicious governance proposal #52.  3) The proposal granted the attacker control of Atlantis Loans' token contracts.  4) After the proposal passed, the attacker upgraded the token contracts with their own malicious versions.  5) These malicious contracts allowed the attacker to drain tokens from any address that still had active approvals to the old Atlantis Loans contracts.  So in summary, the vulnerability was the abandoned decentralized governance system that could still be abused to pass control to the attacker. The attacker then used this control to deploy malicious contracts and drain funds from unsuspecting users who still had active token approvals.  The key weaknesses were:  - Lack of ongoing maintenance/monitoring of the abandoned governance system - Users not revoking approvals after Atlantis Loans was abandoned - No security measures like time delays on governance proposals  Let me know if you need any clarification or have additional questions!"
atomic-wallet-rekt,SUCCESS," Based on the information provided, there are no clear technical details given about the specific vulnerability or attack vector used to compromise Atomic Wallet.  The article mentions several possibilities that have been raised by security researchers:  - Vulnerabilities reported to Atomic Wallet in 2021 by auditors Least Authority, which were never fixed. No specifics are provided about these vulnerabilities.  - A BGP hijacking attack that may have intercepted and logged Atomic Wallet traffic. This alone would not have enabled the thefts, but could have been combined with other vulnerabilities. No confirmation is provided.  - A data leak similar to the Slope wallet incident, but again no confirmation.  Without more technical information from Atomic Wallet about the root cause, the article states that it's difficult for other wallet providers to check if they are vulnerable to the same attack.  The article also criticizes Atomic's poor security posture and refusal to engage with researchers who have reported issues to them.  In summary, the information provided does not contain enough specific technical details to determine precisely how the attacks took place. As the article states, the root cause is still unknown. The key phrase that sums this up is: ""While the root cause is still to be identified..."""
au-dodo-rekt,SUCCESS," Based on the details provided, the attacker exploited a vulnerability in the DODO V2 Crowdpooling smart contract that allows the init() function to be called multiple times. Here are the key steps the attacker took:  1. The attacker created a fake token and initialized the smart contract with it by calling init().  2. The attacker called sync() to set the token balance to 0.  3. The attacker called init() again, this time with a real token from DODO's pools.  4. The attacker used a flash loan to drain all the real tokens from the pools and bypass the flash loan check.  The ability to call init() multiple times allowed the attacker to trick the contract into thinking the fake token was legitimate, then replace it with a real token and drain the pools. This was possible due to the contract not preventing multiple init() calls.  In summary, the vulnerability was the lack of validation around init() being called multiple times, which allowed the attacker to manipulate token balances and drain funds."
audius-rekt,SUCCESS," Based on the details provided, the vulnerability that allowed the attacker to execute this attack was:  The attacker was able to take control of the Audius governance contract by exploiting a known issue with storage collisions between the AudiusAdminUpgradabilityProxy contract and the OpenZeppelin Initializable contract.  Specifically:  - The AudiusAdminUpgradabilityProxy contract sets the proxyAdmin address in storage slot 0.  - This creates a collision with the Initializable contract, which also uses storage slot 0.  - This allowed the attacker to reinitialize the Audius governance contract and take control of it by setting themself as the new admin.  - Once in control of the governance contract, the attacker could change parameters and increase their own voting power.  - They then used their increased voting power to pass a malicious proposal that transferred 18M AUDIO tokens from the treasury to their own address.  In summary, the vulnerability was a known storage collision issue that allowed the attacker to take control of the Audius governance contract and exploit it to steal funds."
autoshark-rekt,SUCCESS," Based on the details provided, the attacker exploited a vulnerability in the Autoshark protocol's reward minting mechanism. Specifically:  1. The attacker made a small deposit into the SHARK-BNB vault to establish a position.  2. They took out a large (100K BNB) flash loan from Pancakeswap.  3. They used 50K BNB from the flash loan to buy SHARK tokens, and sent the SHARK + remaining 50K BNB to the SharkMinter contract.  4. They called the getReward function on the SharkMinter contract with their deposit from step 1.  5. Because the SharkMinter contract saw a huge SHARK and BNB balance (from step 3), it incorrectly calculated an extremely large profit amount and minted 100M new SHARK tokens as a reward.  6. The attacker dumped the minted SHARK tokens to repay the flash loan.  In summary, the vulnerability allowed an attacker to artificially inflate the reward calculation by sending assets directly to the minter contract to manipulate its balance. This resulted in an excessive number of new SHARK tokens being minted as reward. There are enough technical details provided to determine the attack vector."
badger-rekt,SUCCESS," Based on the details provided, it seems the attacker compromised Badger DAO's front-end to insert additional token approvals that allowed the attacker to later drain user funds. Specifically:  - The attacker was able to manipulate Badger's front-end to show unusual token approvals when users attempted legitimate transactions like deposits and reward claims.  - These approvals allowed the attacker to increase their allowance to spend user tokens. Over 500 user addresses approved the attacker's address, granting them unlimited access to funds.  - Armed with these approvals, the attacker was then able to drain user funds, stealing $120 million in various coins. They transferred tokens directly from user wallets.  - An example transaction shows the attacker draining ~900 byvWBTC (worth over $50M) from a user that had approved the attacker's address to spend unlimited tokens just hours earlier.  So in summary, the attacker focused on compromising Badger's front-end to trick users into unknowingly granting broad token approvals, which enabled the theft. The front-end manipulation went undetected for at least 12 days. This highlights the need for projects to aggressively monitor for unauthorized changes to critical infrastructure like front-end code."
balancer-rekt,SUCCESS," Unfortunately, there is not enough information provided in the write-up to determine the exact vulnerability or attack vector used by the attacker.  The write-up mentions that the attacks targeted ""v2 Boosted pools"" on Ethereum, Optimism, and Fantom networks. It states that Balancer had disclosed a ""potential threat"" the previous week and advised users to withdraw funds from certain pools.  However, details of how the attack was actually carried out are not provided. The post-mortem from Balancer has apparently not yet been published. The write-up says ""details of the attack vector remain under wraps"" and that the article will be updated when more information is released.  Without knowing the precise vulnerability, it's impossible to explain technically how the attackers were able to steal the $2.1 million. There could be speculation about potential issues with the Boosted pools or price manipulation, but that would just be guesswork without more concrete details from Balancer about the root cause.  So in summary - there is simply not enough specific technical information provided to determine the exact vulnerability or attack vector. The best course is to await the pending post-mortem report from Balancer for the full details. Until then, we can't accurately explain the weakness the attackers exploited."
bald-rekt,SUCCESS," Based on the details provided, it seems the attacker exploited a vulnerability in the BALD token's liquidity pool to profit at the expense of other users. Specifically:  1) The attacker set up the BALD token and added a significant amount of initial liquidity (~$12M) to pump up the price and attract other users to deposit funds.  2) After the price increased due to hype and FOMO, the attacker removed their liquidity, netting themselves $5.9M in profit. This drastically drained the liquidity pool and crashed the BALD price, ""rugging"" other users.  So in summary, the attacker used their position as the token deployer to profit from providing and removing liquidity. There is no evidence of a technical exploit - rather they took advantage of hype around the new token and market dynamics to extract profits in a ""rug pull."""
beanstalk-rekt,SUCCESS," Based on the details provided, the main vulnerability the attacker exploited was the ability to instantly execute a malicious governance proposal without any delay. Specifically:  1) The attacker prepared a malicious governance proposal (BIP-18) that would transfer all funds from the protocol to the attacker. This was made possible by the 1 day delay on governance actions, which allowed the proposal to be prepared in advance.  2) The attacker then used a flash loan to temporarily gain a majority of voting power in the protocol. This flash loan provided over $1 billion worth of assets that were added to liquidity pools with BEAN tokens to gain voting power.  3) With the temporary voting power, the attacker voted on and instantly executed the prepared BIP-18 proposal using the emergencyCommit function. This immediately transferred all funds (over $180 million) to the attacker.  4) The attacker then repaid the flash loans, kept $76 million in ETH, and sent the rest to Tornado Cash.  The key factors that enabled this attack were:  - Lack of a delay in executing governance proposals - Ability to temporarily gain voting power via flash loans - Emergency commit functionality that allowed instant execution  The report does provide enough technical details to determine how the attack took place through the vulnerabilities described above. Let me know if you need any clarification or have additional questions!"
bearn-rekt,SUCCESS," Based on the details provided, the vulnerability that enabled the attacker to exploit bEarnFi's BvaultsBank contract was an inconsistency in how the withdraw logic interpreted asset denominations between the BvaultsBank contract and its associated BvaultsStrategy contract.  Specifically:  - BvaultsBank's withdraw logic assumed withdrawn amounts were denominated in BUSD - BvaultsStrategy's withdraw logic assumed withdrawn amounts were denominated in ibBUSD - ibBUSD is an interest-bearing token that is more valuable than BUSD  This meant that when the attacker withdrew BUSD from BvaultsBank, BvaultsStrategy interpreted that as a larger ibBUSD withdrawal. This allowed the attacker to repeatedly deposit and withdraw to accumulate more assets than they deposited, until draining the pool.  The technical steps the attacker took were:  1. Borrow BUSD flash loan 2. Deposit into BvaultsBank (sent to BvaultsStrategy and yield farm) 3. Withdraw BUSD from BvaultsBank (treated by BvaultsStrategy as larger ibBUSD withdrawal) 4. Repeat deposit/withdraw to accumulate credits 5. Drain the pool 6. Return flash loan  So in summary, the root cause was the inconsistency in asset denomination handling between the two contracts, which the attacker was able to exploit through flash loans and repeated deposits/withdrawals."
belt-rekt,SUCCESS," Based on the details provided, the vulnerability that enabled the attack was an incorrect share valuation in the Belt Finance protocol. Specifically:  1. The attacker was able to take out 8 flash loans worth a total of $385M in BUSD from PancakeSwap. Flash loans allow you to borrow without collateral, execute arbitrage/other actions, and pay back the loan within the same transaction.  2. They deposited some BUSD into the bEllipsisBUSD and bVenusBUSD lending strategies on Belt Finance. These were marked as the ""Most Undersubscribed"" strategies.  3. They swapped BUSD for USDT using the Ellipsis dex.  4. They withdrew more BUSD from the now ""Most Oversubscribed"" bVenusBUSD strategy.  5. They repeated steps 3-4 several times.  6. Finally, they paid back the flash loans while keeping the profits.  The key vulnerability appears to have been an incorrect share valuation in the Belt Finance lending strategies, which allowed the attacker to deposit/withdraw more funds than they should have been able to. This allowed them to arbitrage and extract profits. However, there are no further specifics provided on exactly how the improper share valuation was calculated or allowed the attack."
bent-finance,SUCCESS," Based on the details provided, it seems the vulnerability exploited was the ability for the Bent Finance team to manually adjust balances in the rewards contract. Specifically:  ""Bent Finance [cvxCRV contract](https://etherscan.io/address/0x270b6aff561284ef380cdd6d8b036f4981049a86) was [updated](https://etherscan.io/tx/0xf711641ea9814d78780c8a51ad734ad44d58baf3f97256a3f5ec3200a29eadc7) on Nov. 30, manually adjusting the balance of the exploiter’s [address.](https://etherscan.io/address/0xd23cfffa066f81c7640e3f0dc8bb2958f7686d1f)""  This allowed the exploiter to assign themselves ""enormous amounts of rewards, far exceeding the TVL of Bent Finance itself.""  So in summary, the vulnerability was the centralized ability for the Bent Finance team to manually adjust balances. This seems to point to an inside job rather than a technical smart contract exploit."
bitmart-rekt,SUCCESS," Based on the details provided, it is unclear exactly how the attacker gained access to BitMart's hot wallets. The write-up states:  ""It remains to be seen how the attacker managed to gain access to the wallets in question. Hopefully it wasn’t another basic OPSEC error such as granting unlimited approvals to an EOA, as in Celsius’ case.""  So the vulnerability or weakness used is currently unknown. There is speculation it could have been due to an ""OPSEC error"" like granting excessive permissions, but no confirmed details.  The key phrase indicating there is not enough information is:  ""It remains to be seen how the attacker managed to gain access to the wallets in question.""  So in summary:  There is not enough information to determine how the attack took place. More details are needed on the specific vulnerability exploited by the attacker to access BitMart's hot wallets. The write-up makes it clear the method is currently unknown pending further investigation."
bnb-bridge-rekt,SUCCESS," Based on the details provided, the attacker exploited a vulnerability in the way the Binance Bridge verified proofs from the Binance Beacon Chain. Specifically:  - The bridge uses ""vulnerable IAVL verification"" which the attacker was able to forge for block 110217401 from August 2020.  - As explained by samczsun, there was a bug that allowed the attacker to forge arbitrary messages by submitting falsified proofs of deposit from the Binance Beacon Chain.  - The attacker used this to forge two messages minting 1 million BNB each to their address.  So in summary, the vulnerability was in the bridge's verification of Beacon Chain proofs, which allowed the attacker to exploit it by forging fake deposit proofs to mint BNB tokens to themselves. The technical details of exactly how the IAVL verification was vulnerable are not provided, but the key issue was the bridge's inability to properly verify the authenticity of Beacon Chain proofs."
bondly-rekt,SUCCESS," Unfortunately, there is not enough technical information provided in the markdown text to determine exactly how the attack took place.  The key pieces of information provided are:  - An attacker was able to mint 373 million new BONDLY tokens and dump them on the market, causing the price to crash.  - The minting happened from address 0x58a058ca4b1b2b183077e830bc929b5eb0d3330c.  - Funds were then sent to Tornado Cash for mixing by address 0xc433d50dd0614c81ee314289ec82aa63710d25e8, which is presumed to be the attacker's wallet.  However, there are no details provided on the specific vulnerability or weaknesses in the Bondly Finance platform/contracts that enabled this attack.  Some possibilities that could potentially explain it:  - A flaw in the token minting logic that allowed unlimited minting - Compromise of an administrative key/account that was able to mint new tokens - An access control issue that allowed the attacker to gain minting rights  But without further technical information on the Bondly contracts and architecture, there is not enough detail provided in the post to conclusively determine the exact attack vector utilized."
bonq-rekt,SUCCESS," Based on the details provided, it seems the main vulnerability exploited was the ability for the attacker to manually update the price feed for the wrapped ALBT (WALBT) collateral asset using the Tellor oracle. Specifically:  1. The attacker staked 10 TRB tokens worth about $175 to meet the minimum staking requirement for submitting price updates.  2. The attacker then called the submitValue function of the TellorFlex contract to submit a hugely inflated price for WALBT (50000000000000000000000000000000 according to the report).  3. Because BonqDAO uses the instant reported value from the Tellor oracle rather than a time-averaged price, this immediately updated the collateral value.  4. The attacker then borrowed 100M BEUR stablecoins against just 0.1 WALBT collateral due to the inflated collateral price.  5. In a follow up transaction, the attacker reset the WALBT price extremely low, allowing them to liquidate other users' WALBT collateral for a low cost.  In summary, the main issues were:  - The Tellor oracle allowed the attacker to manually set the price with a small stake rather than using an aggregated price feed.  - BonqDAO trusted the instant price from the oracle without additional validation.  - This allowed the attacker to manipulate the collateral value to exploit the lending protocol.  The report provides clear technical details on how the attack took place via manipulating the Tellor oracle price feed. Let me know if you need any clarification or have additional questions!"
burgerswap-rekt,SUCCESS," Unfortunately, there is not enough information provided to determine the exact vulnerability or weakness the attacker used to execute their attack on BurgerSwap.  The write-up mentions that the attack was made possible because the attacker could do a reentrance attack and make a second swap before reserves were updated. This allowed the attacker to get more tokens out than they put in. However, the details of how the attacker was able to conduct the reentrance attack are not provided.  The write-up also mentions that a check for x*y=k that is present in the UniSwap code was seemingly removed from the BurgerSwap code. The removal of this check would allow an attacker to trigger a swap of any output size while only paying a small input. However, there are no code snippets or other technical specifics showing exactly where or how this check was removed from the BurgerSwap contracts.  So in summary, while the write-up provides some hints at potential vulnerabilities, there is not enough specific technical information provided to conclusively determine the exact weakness or vulnerabilities the attacker exploited. To make that determination, we would need to see more technical details like contract code snippets, details on the reentrance attack flow, specifics on removed validation checks, etc. So unfortunately I cannot provide a more definitive assessment without additional details on the attack vector. Please let me know if any further attack specifics can be provided."
bzx-rekt,SUCCESS," Based on the details provided, the vulnerability or weakness the attacker used was:  A bZx developer was sent a phishing email with a malicious Word document macro that when opened, compromised the private keys to the developer's personal wallet. This wallet had access/control over the bZx contracts on Polygon and BSC. By gaining access to this wallet, the attacker was able to drain funds from the bZx contracts on those chains.  So in summary: - The attack vector was a phishing email that compromised a developer's private keys - This gave the attacker access to bZx contracts on Polygon and BSC which they drained of funds  The code itself does not seem to have been compromised. Rather, the weakness was that a single developer wallet had too much control/access. So while human error and phishing were involved, the larger vulnerability was inadequate key management and separation of duties within bZx."
cashio-rekt,SUCCESS," Based on the details provided, the root cause of the vulnerability that enabled the infinite mint attack on Cashio was an incomplete validation system for collateral deposits. Specifically:  - Cashio's contract only validated that collateral token deposits were the same type of tokens held by the contract, but did not validate the "".mint"" field of LP tokens deposited via the saber_swap.arrow contract.  - This allowed the hacker to create a fake root contract and a chain of fake token accounts that would pass the incomplete validation checks.  - The hacker was then able to use their fake tokens as collateral to mint a massive amount of CASH tokens.  So in summary, the lack of proper validation of the collateral token contract's minting mechanism enabled the attack. The hacker exploited this by creating fake token contracts that appeared valid to the incomplete validation logic."
chainswap-rekt,SUCCESS," Unfortunately there is not enough technical information provided in the write-up to conclusively determine how the attack took place.  The key pieces of information provided are:  - The attacker was able to exploit a Factory contract on the Ethereum network to mint tokens directly into different addresses.  - The attack involved calling the receive function on the Factory contract and dodging an authentication check using a new address signature for each transaction.  - A charge fee of 0.005 ETH was paid for each minting transaction.  - The minted tokens were then bridged to BSC and sold for WBNB.  However, without more specifics on the vulnerable contract code, how the authentication check was bypassed, or the precise minting and bridging mechanisms used, I cannot reliably describe the full technical details behind the attack vector.  In summary: ""There is not enough information to determine how the attack took place."" More technical specifics would be needed to analyze the vulnerability. Please let me know if any additional attack details become available!"
coinex-rekt,SUCCESS," Based on the information provided, there are no clear technical details about how the CoinEx hack specifically occurred.  The article mentions that CoinEx has not yet announced how the security breach happened. It states that attackers were able to drain funds from CoinEx's hot wallets, indicating a compromise of private keys or improper security controls.  Some key pieces of information that would help determine the exact vulnerability used:  - How the private keys were stored and accessed. Were they encrypted properly? Was there an insider threat?  - What permissions did the compromised keys have? Full withdrawal rights?  - Were there any secondary approvals or controls bypass?  - Were there any phishing attempts on employees?  Without more specific details from CoinEx on their infrastructure and security controls, there is not enough information to conclusively determine how the attack took place. The article provides excellent background and impact details but lacks the technical specificity needed. I will refrain from speculating beyond what has been confirmed."
compound-rekt,SUCCESS," Based on the information provided, there are not enough technical details to determine exactly how the attack was executed.  The key points from the write-up are:  - There was a vulnerability in the updated Compound Comptroller vault that allowed wrongful distribution of $80M in excess COMP tokens.  - The Comptroller vault is refilled with 0.5 COMP per block from a Reservoir contract. At the time of the first incident, the Reservoir had not been drained in 2 months and contained over 200k COMP (~$68M).  - 3.5 days after the initial incident, someone called the drip() function on the Reservoir contract. This refilled the vulnerable Comptroller and allowed another $68.8M to be wrongly distributed.  However, the exact vulnerability or weakness that was exploited is not provided. The write-up does not give technical details on how calling drip() or interacting with the Comptroller allowed the wrongful COMP distribution.  So in summary, while we know additional funds were stolen by refilling and re-exploiting a vulnerability in the Comptroller contract, there is insufficient technical information provided to determine the specific vulnerability or attack vector used."
conic-finance-rekt,SUCCESS," Based on the details provided, the first attack exploited a read-only reentrancy vulnerability in the Conic Finance oracle contract CurveLPOracleV2. Specifically:  - Due to the vulnerability, the attacker could reenter the rETH-f.totalSupply() and other token methods like steCRV.totalSupply() multiple times.  - By reentering these methods, the attacker was able to manipulate the token prices/supplies used for pricing.  - This allowed the attacker to withdraw more funds from Conic than they deposited by tricking the system into thinking more collateral was deposited.  The root cause was that Conic had reentrancy protection in place, but it did not trigger properly. The protection expected ETH to use address 0xeee..., but Curve actually uses the WETH token address. So the protection failed to detect the reentrant calls.  In summary, it was a reentrancy attack manipulating token pricing by reentering totalSupply() methods, made possible by a mismatch in expected token addresses that allowed the reentrancy to occur undetected.  The second attack took advantage of imbalanced Curve pools to extract value in a sandwich attack. There is enough detail provided on the specifics of that one in the post."
